Data;Ultimo;Apertura;Massimo;Minimo;Vol.;Var. %
01.10.2012;6,2372;6,2841;6,2897;6,2366;;-0,75%
01.09.2012;6,2845;6,3481;6,3546;6,2837;;-1,01%
01.08.2012;6,3485;6,3611;6,3775;6,3438;;-0,21%
01.07.2012;6,362;6,3544;6,3974;6,3462;;0,13%
01.06.2012;6,3537;6,3692;6,3792;6,3525;;-0,24%
01.05.2012;6,3688;6,3094;6,3783;6,2949;;0,93%
01.04.2012;6,3099;6,298;6,327;6,2932;;0,19%
01.03.2012;6,298;6,294;6,3471;6,2845;;0,07%
01.02.2012;6,2938;6,3079;6,314;6,288;;-0,24%
01.01.2012;6,309;6,2945;6,3393;6,2923;;0,24%
01.12.2011;6,2939;6,3789;6,3789;6,2939;;-1,33%
01.11.2011;6,3788;6,3543;6,3872;6,3331;;0,37%
01.10.2011;6,3552;6,375;6,3915;6,3368;;-0,42%
01.09.2011;6,3822;6,3812;6,4043;6,3788;;0,05%
01.08.2011;6,379;6,437;6,4461;6,3775;;-0,90%
01.07.2011;6,437;6,464;6,476;6,437;;-0,42%
01.06.2011;6,4642;6,4783;6,4878;6,4618;;-0,24%
01.05.2011;6,4795;6,49;6,51;6,4785;;-0,18%
01.04.2011;6,491;6,5485;6,551;6,4755;;-0,88%
01.03.2011;6,5486;6,5653;6,5773;6,5443;;-0,35%
01.02.2011;6,5716;6,5998;6,5998;6,5493;;-0,51%
01.01.2011;6,605;6,5928;6,64;6,5772;;0,22%
01.12.2010;6,5906;6,6675;6,6806;6,5891;;-1,15%
01.11.2010;6,667;6,6696;6,6963;6,6178;;-0,06%
01.10.2010;6,6707;6,6895;6,6925;6,6398;;-0,31%
01.09.2010;6,6917;6,8083;6,8187;6,6827;;-1,70%
01.08.2010;6,8075;6,7742;6,812;6,7635;;0,49%
01.07.2010;6,774;6,781;6,784;6,7677;;-0,11%
01.06.2010;6,7817;6,8272;6,8331;6,7797;;-0,68%
01.05.2010;6,8278;6,8245;6,8323;6,8236;;0,04%
01.04.2010;6,8252;6,8257;6,8305;6,823;;-0,01%
01.03.2010;6,8259;6,8254;6,8305;6,8248;;0,00%
01.02.2010;6,8261;6,8263;6,8348;6,8223;;-0,01%
01.01.2010;6,8269;6,8285;6,8296;6,8233;;0,00%
01.12.2009;6,827;6,8282;6,8335;6,8245;;-0,01%
01.11.2009;6,8275;6,8279;6,8334;6,8256;;0,00%
01.10.2009;6,8275;6,8271;6,8359;6,8236;;0,01%
01.09.2009;6,8265;6,8308;6,8332;6,8249;;-0,06%
01.08.2009;6,8304;6,831;6,837;6,8296;;-0,02%
01.07.2009;6,8321;6,8309;6,8351;6,8294;;0,02%
01.06.2009;6,8305;6,8253;6,8404;6,8248;;0,03%
01.05.2009;6,8283;6,823;6,8375;6,8108;;0,14%
01.04.2009;6,8185;6,832;6,8414;6,8176;;-0,22%
01.03.2009;6,8334;6,8385;6,8468;6,8212;;-0,09%
01.02.2009;6,8396;6,8431;6,8521;6,8242;;0,07%
01.01.2009;6,835;6,831;6,8565;6,822;;0,18%
01.12.2008;6,823;6,8325;6,89;6,817;;-0,04%
01.11.2008;6,8259;6,834;6,8412;6,818;;-0,20%
01.10.2008;6,8395;6,8434;6,8591;6,8105;;-0,08%
01.09.2008;6,8451;6,8375;6,8543;6,8105;;-0,05%
01.08.2008;6,8487;6,8313;6,8813;6,8255;;0,25%
01.07.2008;6,8315;6,853;6,8695;6,8105;;-0,33%
01.06.2008;6,8544;6,9401;6,9486;6,8541;;-1,27%
01.05.2008;6,9425;6,9995;7,0075;6,936;;-0,66%
01.04.2008;6,9885;7,0131;7,024;6,9815;;-0,34%
01.03.2008;7,0124;7,1019;7,1139;7,01;;-1,40%
01.02.2008;7,1119;7,1814;7,2089;7,1029;;-0,98%
01.01.2008;7,1822;7,2964;7,3029;7,1804;;-1,67%
01.12.2007;7,3041;7,4091;7,4135;7,3032;;-1,27%
01.11.2007;7,398;7,4615;7,4624;7,381;;-0,98%
01.10.2007;7,4715;7,506;7,5283;7,461;;-0,46%
01.09.2007;7,506;7,55;7,5556;7,5017;;-0,52%
01.08.2007;7,545;7,566;7,609;7,5415;;-0,36%
01.07.2007;7,5725;7,609;7,6128;7,5535;;-0,54%
01.06.2007;7,6135;7,6481;7,6798;7,6135;;-0,44%
01.05.2007;7,6475;7,704;7,704;7,6455;;-0,75%
01.04.2007;7,7055;7,7296;7,735;7,7035;;-0,33%
01.03.2007;7,7308;7,747;7,7525;7,7255;;-0,09%
01.02.2007;7,738;7,7605;7,7652;7,737;;-0,47%
01.01.2007;7,7748;7,814;7,8165;7,7685;;-0,42%
01.12.2006;7,8075;7,8332;7,8348;7,8072;;-0,33%
01.11.2006;7,8333;7,873;7,8823;7,8309;;-0,58%
01.10.2006;7,879;7,9103;7,9203;7,8775;;-0,36%
01.09.2006;7,9073;7,9592;7,961;7,8948;;-0,60%
01.08.2006;7,9549;7,9736;8,0016;7,9549;;-0,19%
01.07.2006;7,97;7,992;8,005;7,9653;;-0,28%
01.06.2006;7,9925;8,0214;8,0266;7,9925;;-0,39%
01.05.2006;8,024;8,0139;8,0325;7,998;;0,13%
01.04.2006;8,0139;8,0225;8,0259;8,0025;;-0,04%
01.03.2006;8,0175;8,0394;8,0522;8,0168;;-0,28%
01.02.2006;8,0404;8,0569;8,0643;8,0404;;-0,27%
01.01.2006;8,0622;8,0664;8,0695;8,0584;;-0,10%
01.12.2005;8,0702;8,0784;8,081;8,069;;-0,10%
01.11.2005;8,078;8,0707;8,0877;8,0688;;-0,06%
01.10.2005;8,0832;8,0868;8,097;8,0818;;-0,11%
01.09.2005;8,0922;8,0927;8,0948;8,0862;;-0,09%
01.08.2005;8,0998;8,0998;8,0998;8,0998;;-0,07%
01.07.2005;8,1056;8,1056;8,1056;8,1056;;-2,06%
01.06.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
01.05.2005;8,2765;8,2765;8,2765;8,2765;;0,00%
